Chemical Engineering                    ,"
                
                    CH E      5. Introduction to Chemical Engineering Design                                                                                                                                                                                      
                
                
		
                    
                        
                            (3)
                            DOHERTY, SHELL, CHADA
                            
                        
                        
                            
                            Enrollment Comments: Cross-listed with ChE W 5
                        
                    
                    
                        Introduction to the design and analysis of processes involving chemical change in the context of chemical and biomolecular engineering. Students learn mathematical, empirical, and conceptual strategies to analyze chemical processes to assess product quality, economics, safety, and   environmental issues. Focus topics include an overview of chemical and biomolecular engineering, evaluating and analyzing data, flowsheets, material and energy balances, economics, and unit operations.                                                                                                                                                                                                                                                                         
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    291. 
                        Research Group Studies                                                                                                                                                                                                           
                
                
		
                    (1-2)
                        STAFF 
                             Prerequisite: Consent of instructor.                                                                                                                                                                                                                                                                                                                                                                 
                            
                    
                        Students or instructors present recently published papers and/or results   relevant to their own research.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    294B. 
                        Bioengineering: Career and Development Opportunities at the   Interface between Biotechnology and Engineering                                                                                                                    
                
                
		
                    (2)
                        CLEGG 
                             Prerequisite: Consent of instructor.                                                                                                                                                                                                                                                                                                                                                                 
                            Enrollment Comments: Quarters usually offered: Spring. Same as BMSE 294B and MCDB 294B.
                    
                        Based on presentations by experts from the bioengineering industry. Presenters describe their companies' technologies and developments, including biosensors, therapeutics, tissue engineering, quantum dots and advanced instrumentation. Training and educational requirements for different career tracks are discussed.                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    295. 
                        Group Studies: Controls, Dynamical Systems, and Computation                                                                                                                                                                      
                
                
		
                    (1)
                        STAFF 
                            
                            
                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    493. 
                        Internship in Industry                                                                                                                                                                                                           
                
                
		
                    (1-4)
                        STAFF 
                             Prerequisite: Prior departmental approval needed.                                                                                                                                                                                                                                                                                                                                                    
                            
                    
                        Special projects for selected students. Students pursue   practical        engineering experience in selected industrial and   research firms, under  faculty supervision.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    594. 
                        Special Topics                                                                                                                                                                                                                   
                
                
		
                    (1-4)
                        STAFF 
                            
                            
                    
                        Special seminar on research subjects of current interest.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    596. 
                        Directed Reading and Research                                                                                                                                                                                                    
                
                
		
                    (1-12)
                        STAFF 
                            
                            
                    
                        Experimental or theoretical research undertaken under the direction of a faculty member for graduate students who have not yet advanced to candidacy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    597. 
                        Individual Study for Master's Comprehensive Examinations and Ph.D.                                                                                                                                                               
                
                
		
                    (1-12)
                        STAFF 
                            
                            Enrollment Comments: Maximum of 12 units per quarter. S/U grading. Instructor should be the student's major professor or chairman of his doctoral committee. No unit credit allowed toward avanced degree(s). Enrollment limited to 24 units per examination.
                    
                        Examinations.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    598. 
                        Master's Thesis Research and Preparation                                                                                                                                                                                         
                
                
		
                    (1-12)
                        STAFF 
                            
                            Enrollment Comments: Not applicable to course requirement for M.S. degree.
                    
                        Only for research underlying the thesis and writing the thesis.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E    599. 
                        Dissertation Research and Preparation                                                                                                                                                                                            
                
                
		
                    (1-12)
                        STAFF 
                            
                            
                    
                        Only for research underlying the dissertation and writing the disseration.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Chemical Engineering                    ,"
                
                    CH E W    5. Introduction to Chemical Engineering Design                                                                                                                                                                                      
                
                
		
                    
                        
                            (3)
                            DOHERTY, SHELL, CHADA
                            
                        
                        
                            
                            Enrollment Comments: Cross-listed with ChE 5. Students must be available to meet synchronously once per week via web conference for up to 75 minutes. Synchronous meeting will typically occur on Thursday evenings.
                        
                    
                    
                        Introduction to the design and analysis of processes involving chemical change in the context of chemical and biomolecular engineering. Students learn mathematical, empirical, and conceptual strategies to analyze chemical processes to assess product quality, economics, safety, and   environmental issues. Focus topics include an overview of chemical and biomolecular engineering, evaluating and analyzing data, flowsheets, material and energy balances, economics, and unit operations.                                                                                                                                                                                                                                                                         
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC     1. Seminar on the Field of Computer Science                                                                                                                                                                                         
                
                
		
                    
                        
                            (1)
                            FRANKLIN
                            
                        
                        
                            
                            
                        
                    
                    
                        Overviews the potential of, and opportunities available from, the field of   computer science. Topics include an overview of how computers work and the   interesting ways in which computers can be applied to solve important and   high-impact technological, social, and cutting-edge research problems.                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC     2. Computational Thinking for Scientists                                                                                                                                                                                            
                
                
		
                    
                        
                            (4)
                            EGECIOGLU
                            
                        
                        
                             Prerequisite: Math 4A with a grade of C or better.                                                                                                                                                                                                                                                                                                                                                   
                            
                        
                    
                    
                        Introduction to the central concepts of computer science as   they apply   to a wide variety of human endeavors, including   natural and physical     sciences. Topics that interrelate   central ideas from algorithms,         performance and complexity,   data structures, concurrency, languages and  abstractions will   be studied.                                                                                                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC     4. Computer Science Boot Camp                                                                                                                                                                                                       
                
                
		
                    
                        
                            (4)
                            KOC
                            
                        
                        
                            
                            
                        
                    
                    
                        An introduction to computational thinking, computing, data   management, and problem solving   using computers, for non-majors. Topics include coding basics,   representing code and data   using a computer, and applications of computing that are important to   society.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC     5A. Introduction to Data Science 1                                                                                                                                                                                                   
                
                
		
                    
                        
                            (4)
                            STAFF
                            
                        
                        
                            
                            Enrollment Comments: Not open for credit to students who have completed Computer Science 8, Computer Science 16, Engineering 3, ECE 3, or equivalent (including AP CS A with a score of 4 or higher).
                        
                    
                    
                        Introduction to data science methods and Python programming language for students with little to no experience in the subjects. Topics include foundational programming concepts, problem-solving strategies and code design, and data science concepts as table operations, exploratory data analysis, basic probability.                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC     5B. Introduction to Data Science 2                                                                                                                                                                                                   
                
                
		
                    
                        
                            (4)
                            STAFF
                            
                        
                        
                             Prerequisite: Computer Science 5A or Computer Science 8 or ECE 3 with a grade of C or better.                                                                                                                                                                                                                                                                                                        
                            
                        
                    
                    
                        Students explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction, and decision-making. The course focus is on transforming and analyzing data; machine learning methods including regression, classification and clustering; principles behind data visualizations; concepts of measurement error and prediction; and techniques for scalable data processing.                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC     8. Introduction to Computer Science                                                                                                                                                                                                 
                
                
		
                    
                        
                            (4)
                            MIRZA
                            
                        
                        
                            
                            Enrollment Comments: Not open for credit to students who have completed Computer Science 16 or Engineering 3 or ECE 3.
                        
                    
                    
                        Introduction to computer program development for students with little to no programming experience. Basic programming concepts, variables and expressions, data and control structures, algorithms, debugging, program design, and documentation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC     9. Intermediate Python Programming                                                                                                                                                                                                  
                
                
		
                    
                        
                            (4)
                            R WANG
                            
                        
                        
                             Prerequisite: Computer Science 8 or Engineering 3 with a grade of C or better.                                                                                                                                                                                                                                                                                                                       
                            
                        
                    
                    
                        Intermediate topics in Computer Science using the Python programming language. Topics include object oriented programming, runtime analysis, data structures, and software testing methodologies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC    11AAZZ. Programming Language Laboratory                                                                                                                                                                                                  
                
                
		
                    
                        
                            (1)
                            STAFF
                            
                        
                        
                             Prerequisite: Knowledge of at least one programming language.                                                                                                                                                                                                                                                                                                                                        
                            Enrollment Comments: Different sections may be repeated. Sections not always offered.
                        
                    
                    
                        A self-paced course to allow a student who already possesses a working     knowledge of at least one programming language an opportunity to learn     other   languages of interest. Each section studies a different            programming language.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC    11AD. Programming Language Laboratory: ADA                                                                                                                                                                                             
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11AP. Programming Language Laboratory: APL                                                                                                                                                                                             
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11C. Programming Language Laboratory                                                                                                                                                                                                  
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11CO. Programming Language Laboratory: COBOL                                                                                                                                                                                           
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11FO. Programming Language Laboratory: Fortran                                                                                                                                                                                         
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11JA. Programming Language Laboratory                                                                                                                                                                                                  
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11LI. Programming Language Laboratory: LISP                                                                                                                                                                                            
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11PA. Programming Language Laboratory: Pascal                                                                                                                                                                                          
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11PL. Programming Language Laboratory: PL/1                                                                                                                                                                                            
                
                
            "
Computer Science                        ,"
                
                    CMPSC    11SN. Programming Language Laboratory: SNOBOL                                                                                                                                                                                          
                
                
            "
Computer Science                        ,"
                
                    CMPSC    16. Problem Solving with Computers I                                                                                                                                                                                                 
                
                
		
                    
                        
                            (4)
                            MIRZA, KHARITONOVA
                            
                        
                        
                             Prerequisite: Mathematics 3A or 2A with a grade of C or better (may be taken concurrently), CS 8   or Engineering 3 or ECE 3 with a grade of C or better, or significant prior programming experience.                                                                                                                                                                                               
                            Repeat Comments: Legal repeat of CMPSC 10.
                        
                    
                    
                        Fundamental building blocks for solving problems using computers. Topics include basic computer organization and programming constructs:  memory CPU, binary arithmetic, variables, expressions, statements, conditionals, iteration, functions, parameters, recursion, primitive and composite data types, and basic operating system and debugging tools.                                                                                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC    24. Problem Solving with Computers II                                                                                                                                                                                                
                
                
		
                    
                        
                            (4)
                            COSTANZO
                            
                        
                        
                             Prerequisite: Computer Science 16 with a grade of C or better; and Mathematics 3B or 2B with a grade of C or better (may be taken concurrently).                                                                                                                                                                                                                                                     
                            Enrollment Comments: Not open for credit to students who have completed Computer Science   20.Repeat Comments: This is a legal repeat of CMPSC 24A.
                        
                    
                    
                        Intermediate building blocks for solving problems using computers. Topics include intermediate object-oriented programming, data structures, object-oriented design, algorithms for manipulating these data structures and their run-time analyses. Data structures introduced include stacks, queues, lists, trees, and sets.                                                                                                                                                                                                                                                                                                                                                                                                                                                
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC    24A. Problem Solving with Computers II                                                                                                                                                                                                
                
                
		
                    
                        
                            (4)
                            WANG, RICHERT
                            
                        
                        
                             Prerequisite: Computer Science 16 with a grade of C or better; and Mathematics 3B or 2B with a grade of C or better (may be taken concurrently).                                                                                                                                                                                                                                                     
                            Enrollment Comments: Not open for credit to students who have completed Computer Science 20.Repeat Comments: This is a legal repeat of CS 24.
                        
                    
                    
                        Intermediate building blocks for solving problems using computers. Topics include data structures, object-oriented design and development, algorithms for manipulating these data structures and their runtime analyses. Data structures introduced include stacks, queues, lists, trees, and sets.                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC    32. Object Oriented Design and Implementation                                                                                                                                                                                        
                
                
		
                    
                        
                            (4)
                            HOLLERER
                            
                        
                        
                             Prerequisite: Computer Science 24 with a grade of C or better                                                                                                                                                                                                                                                                                                                                        
                            Repeat Comments: Computer Science 32 is a legal repeat for Computer Science 60
                        
                    
                    
                        Advanced topics in object-oriented computing.  Topics include              encapsulation,   data hiding, inheritance, polymorphism, compilation,      linking and loading,   memory management, and debugging; recent advances   in design and   development tools, practices, libraries, and operating     system support.                                                                                                                                                                                                                                                                                                                                                                                                                                                   
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC    40. Foundations of Computer Science                                                                                                                                                                                                  
                
                
		
                    
                        
                            (5)
                            SU, VAN DAM
                            
                        
                        
                             Prerequisite: Computer Science 16 with a grade of C or better and Mathematics 4A with a   grade of C or better.                                                                                                                                                                                                                                                                                      
                            
                        
                    
                    
                        Introduction to the theoretical underpinnings of computer   science. Topics include propositional predicate logic,   set theory,   functions   and relations, counting, mathematical induction and   recursion   (generating   functions).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                    
                
	
            "
Computer Science                        ,"
                
                    CMPSC    64. Computer Organization and Logic Design                                                                                                                                                                                           
                
                
		
                    
                        
                            (4)
                            ZHENG, FRANKLIN
                            
                        
                        
                             Prerequisite: Computer Science 16 with a grade of C or better; and Mathematics 3C or 4A  with a grade of C or better.                                                                                                                                                                                                                                                                                
                            Enrollment Comments: Not open for credit to students who have completed ECE 15 or ECE 15B or    Computer   Science   30.Repeat Comments: Course counts as a legal repeat of CMPSC 30.
                        
                    
                    
                        Assembly language programming and advanced computer   organization;        Digital logic design topics including gates,   combinational circuits,     flip-flops, and the   design and analysis of sequential circuits.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
                    
                
	
            "
